Model,"Acc (%, mean±95% CI)",Kappa,Entropy (bits),Consistency (%),Wrong 0/5 (n),Clin-Basic (pp)
Gemini 3 Pro Preview,93.94±0.00,1.000,0.000,100.00,10,+4.80
Qwen3 Max,85.94±0.63,0.953,0.069,92.73,19,-6.77
DeepSeek V3.2 Thinking,85.33±1.24,0.932,0.099,89.09,16,-3.42
MiniMax M2.1,84.36±2.57,0.845,0.220,75.15,12,-3.99
Kimi K2 Thinking,83.76±1.45,0.879,0.182,81.82,14,-4.85
GPT-5.2,81.70±1.87,0.924,0.109,87.88,21,-3.72
Claude Opus 4.5,81.45±0.41,0.987,0.018,98.18,29,-2.50
Qwen3 235B A22B Thinking,80.48±0.98,0.932,0.095,88.48,25,-4.06
Qwen3 30B A3B Thinking,79.15±1.37,0.852,0.216,74.55,22,-6.42
GPT OSS 20B,78.42±3.04,0.792,0.314,69.70,18,-0.45
GPT OSS 120B,75.64±0.63,0.896,0.145,83.03,28,-9.37
