model_id,model_name,question_id,subject,type,baseline_correct_count,agentic_correct_count,baseline_majority_correct,agentic_majority_correct,transition_code,transition_term,baseline_majority_rate,difficulty_bin
claude-opus-4.5,Claude Opus 4.5,1,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,2,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,3,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,4,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,5,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,6,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,7,Physiology/Biochem,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,8,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,9,Physiology/Biochem,A,0,0,False,False,0->0,Refractory Error,0.0,Very hard (<20%)
claude-opus-4.5,Claude Opus 4.5,10,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,11,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,12,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,13,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,14,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,15,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,0.7272727272727273,Easy (60-80%)
claude-opus-4.5,Claude Opus 4.5,16,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,17,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,18,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,19,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,20,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,0.8181818181818182,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,21,Physiology/Biochem,A,0,5,False,True,0->1,Effective Rescue,0.9090909090909091,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,22,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,23,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,24,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,25,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,26,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,27,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,28,Physiology/Biochem,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
claude-opus-4.5,Claude Opus 4.5,29,Pathology,A,5,5,True,True,1->1,Retained Mastery,1.0,Very easy (>=80%)
